cdbguogid,cdbgname,stusab,cdbgty,r/e majority,LMI r/e majority,LMI majority tenure,White LMI majority tenure,Black LMI majority tenure,Minority LMI majority tenure,LMI problems, majority r/e,LMI problems, majority tenure,%white,%black,%other,LMI %owner,White LMI %owner,Black LMI %owner,Minority LMI %owner,LMI %white,LMI %black,All minorities % LMI,White %LMI,Black %LMI,All minorities %LMI,LMI problems %white,LMI problems %owner,LMI problems %white owner,LMI problems %white renter,LMI problems %black owner,LMI problems %black renter,LMI problems %other owner,LMI problems %other renter,All,LMI,LMI owners,LMI renters,White,White LMI,White LMI owners,White LMI renters,Black,Black LMI,Black LMI owners,Black LMI renters,Other,Other LMI,Other LMI owners,Other LMI renters,LMI with severe housing prob,LMI owners with severe housing prob,LMI renters with severe housing prob,White LMI with severe housing prob,White LMI owners with severe housing prob,White LMI renters with severe housing prob,Black LMI with severe housing prob,Black LMI owners with severe housing prob,Black LMI renters with severe housing prob,Other LMI with severe housing prob,Other LMI owners with severe housing prob,Other LMI renters with severe housing prob
19073,Jefferson County,AL,61,white,white,owner,owner,renter,renter,white,renters,75%,20%,5%,56%,67%,34%,35%,66%,27%,34%,32%,50%,48%,58%,44%,32%,26%,9%,25%,3%,5%,126230,45014,25195,19819,94719,29874,19906,9968,24689,12327,4222,8105,6822,2813,1067,1746,14393,6340,8053,8413,4631,3782,4863,1320,3543,1117,389,728
19097,Mobile County,AL,61,white,white,owner,owner,renter,renter,white,owners,72%,21%,7%,63%,72%,48%,49%,61%,31%,39%,33%,57%,54%,54%,57%,36%,18%,15%,20%,5%,5%,56375,22020,13974,8046,40726,13527,9782,3745,11882,6781,3255,3526,3767,1712,937,775,6622,3762,2860,3607,2389,1218,2321,1017,1304,694,356,338
20078,Anchorage,AK,51,white,white,renter,renter,renter,renter,minority,renters,69%,5%,26%,37%,44%,22%,29%,55%,8%,45%,27%,55%,50%,50%,32%,19%,30%,2%,8%,11%,29%,106000,36296,13610,22686,72897,19895,8803,11092,5414,2958,659,2299,27689,13443,4148,9295,14802,4782,10020,7329,2819,4510,1525,325,1200,5948,1638,4310
40018,Avondale City,AZ,52,minority,minority,renter,renter,renter,renter,minority,renters,44%,9%,47%,42%,43%,25%,41%,33%,11%,67%,28%,45%,45%,27%,37%,10%,17%,3%,11%,24%,35%,33305,12558,5249,7309,14683,4160,1797,2363,3109,1399,354,1045,15513,6999,3098,3901,5042,1853,3189,1359,487,872,687,144,543,2996,1222,1774
40054,Casa Grande,AZ,52,white,minority,owner,owner,renter,renter,minority,renters,57%,3%,40%,54%,65%,35%,45%,48%,4%,52%,41%,62%,59%,47%,45%,25%,22%,1%,3%,18%,30%,24980,12201,6627,5574,14206,5882,3806,2076,814,504,176,328,9960,5815,2645,3170,4111,1839,2272,1917,1027,890,193,54,139,2001,758,1243
40072,Chandler,AZ,52,white,white,renter,owner,renter,renter,white,renters,68%,5%,26%,47%,55%,24%,36%,59%,7%,41%,21%,34%,32%,56%,39%,26%,30%,1%,7%,12%,24%,103240,25546,11979,13567,70702,14991,8207,6784,5391,1843,435,1408,27147,8712,3337,5375,10932,4215,6717,6117,2788,3329,904,127,777,3911,1300,2611
40114,Douglas City,AZ,51,minority,minority,owner,owner,renter,owner,minority,renters,28%,0%,71%,62%,66%,50%,61%,22%,0%,78%,41%,36%,58%,22%,45%,12%,10%,0%,0%,33%,45%,6490,3445,2134,1311,1831,759,503,256,22,8,4,4,4637,2678,1627,1051,1043,466,577,230,122,108,0,0,0,813,344,469
40144,Flagstaff,AZ,51,white,white,renter,renter,renter,renter,white,renters,71%,2%,27%,29%,35%,17%,19%,62%,2%,38%,36%,60%,53%,64%,21%,17%,47%,0%,2%,4%,29%,28565,11609,3367,8242,20323,7226,2520,4706,442,263,44,219,7800,4120,803,3317,6156,1296,4860,3941,1026,2915,134,0,134,2081,270,1811
40180,Gilbert,AZ,52,white,white,renter,owner,renter,renter,white,renters,77%,3%,20%,48%,51%,14%,40%,74%,3%,26%,20%,26%,24%,72%,45%,34%,38%,0%,3%,11%,14%,73120,15276,7337,7939,56328,11246,5720,5526,1928,500,70,430,14864,3530,1547,1983,6807,3041,3766,4868,2292,2576,225,10,215,1714,739,975
40186,Glendale,AZ,51,white,white,renter,renter,renter,renter,minority,renters,60%,7%,33%,39%,45%,13%,32%,50%,9%,50%,36%,57%,54%,45%,31%,17%,29%,1%,9%,14%,31%,98705,42948,16709,26239,59082,21477,9738,11739,6629,3793,484,3309,32994,17678,6487,11191,18013,5588,12425,8178,2975,5203,1744,166,1578,8091,2447,5644
40270,Mesa,AZ,51,white,white,renter,owner,renter,renter,white,renters,73%,3%,24%,46%,55%,18%,29%,65%,4%,35%,39%,52%,55%,56%,36%,24%,32%,1%,4%,10%,28%,191900,83246,38528,44718,139468,54343,30074,24269,6295,3297,597,2700,46137,25606,7857,17749,31619,11265,20354,17825,7645,10180,1630,360,1270,12164,3260,8904
40324,Peoria City,AZ,52,white,white,owner,owner,renter,owner,white,owners,80%,3%,17%,63%,66%,34%,51%,79%,3%,21%,33%,36%,37%,75%,52%,39%,36%,1%,2%,12%,10%,70860,23941,15063,8878,57007,18805,12469,6336,1914,692,237,455,11939,4444,2357,2087,7707,3993,3714,5770,2983,2787,189,69,120,1748,941,807
40330,Phoenix,AZ,51,white,minority,renter,renter,renter,renter,minority,renters,56%,7%,37%,37%,45%,16%,31%,43%,9%,57%,33%,59%,57%,38%,31%,15%,23%,1%,8%,14%,38%,546595,237897,87859,150038,305357,101379,46059,55320,37576,22018,3537,18481,203662,114500,38263,76237,98334,30254,68080,37211,14926,22285,9246,1201,8045,51877,14127,37750
40348,Prescott,AZ,51,white,white,renter,renter,renter,renter,white,renters,91%,1%,8%,48%,49%,4%,38%,90%,1%,10%,35%,66%,41%,86%,37%,33%,53%,0%,0%,5%,9%,22955,8163,3943,4220,20943,7334,3629,3705,135,89,4,85,1877,740,310,430,3143,1168,1975,2689,1024,1665,15,0,15,439,144,295
40384,Scottsdale,AZ,51,white,white,owner,owner,renter,renter,white,renters,87%,1%,11%,55%,61%,17%,28%,83%,2%,17%,23%,35%,33%,81%,48%,44%,36%,0%,1%,4%,14%,115820,28545,15820,12725,101125,23671,14456,9215,1600,557,95,462,13095,4317,1269,3048,13656,6578,7078,11002,6028,4974,213,60,153,2441,490,1951
40408,Sierra Vista City,AZ,51,white,white,renter,renter,renter,renter,white,renters,69%,6%,26%,42%,46%,46%,34%,63%,5%,37%,26%,27%,33%,57%,27%,14%,43%,0%,3%,13%,28%,21460,5967,2495,3472,14728,3771,1749,2022,1193,317,145,172,5539,1879,601,1278,2490,660,1830,1414,344,1070,68,0,68,1008,316,692
40456,Surprise City,AZ,52,white,white,owner,owner,renter,owner,white,owners,82%,4%,13%,67%,71%,37%,53%,80%,5%,20%,33%,39%,39%,79%,53%,44%,35%,2%,4%,6%,8%,62065,21339,14302,7037,51000,17013,12022,4991,2720,1060,387,673,8345,3266,1893,1373,6812,3578,3234,5393,3019,2374,437,153,284,982,406,576
40468,Tempe,AZ,51,white,white,renter,renter,renter,renter,white,renters,64%,6%,30%,23%,29%,6%,16%,56%,8%,44%,39%,59%,54%,55%,16%,10%,45%,0%,8%,5%,31%,64450,28441,6596,21845,41369,15944,4578,11366,3917,2324,132,2192,19164,10173,1886,8287,13137,2084,11053,7229,1362,5867,1127,63,1064,4781,659,4122
40492,Tucson,AZ,51,white,minority,renter,renter,renter,renter,minority,renters,56%,4%,40%,37%,41%,12%,34%,47%,5%,53%,41%,57%,58%,44%,28%,13%,31%,0%,5%,15%,35%,242425,116392,43589,72803,136058,55105,22627,32478,9552,5438,640,4798,96815,55849,20322,35527,48464,13804,34660,21245,6244,15001,2702,189,2513,24517,7371,17146
40558,Yuma,AZ,51,minority,minority,renter,owner,renter,renter,minority,renters,44%,3%,53%,48%,59%,14%,43%,36%,2%,64%,29%,29%,42%,32%,38%,11%,20%,0%,2%,26%,40%,43095,15600,7526,8074,19169,5590,3271,2319,1174,340,48,292,22752,9670,4207,5463,5997,2262,3735,1898,677,1221,147,19,128,3952,1566,2386
49013,Maricopa County,AZ,61,white,white,owner,owner,renter,renter,white,owners,73%,4%,23%,64%,72%,31%,48%,67%,4%,33%,34%,39%,46%,63%,56%,38%,24%,2%,3%,15%,17%,125595,46490,29618,16872,92176,31195,22333,8862,4551,1769,554,1215,28868,13526,6731,6795,15825,8792,7033,9898,6072,3826,806,314,492,5121,2406,2715
49019,Pima County,AZ,61,white,white,owner,owner,renter,owner,white,owners,72%,2%,26%,62%,67%,44%,55%,65%,2%,35%,27%,33%,38%,63%,53%,35%,28%,1%,1%,17%,18%,154625,46184,28863,17321,111627,29828,19921,9907,2628,867,384,483,40370,15489,8558,6931,17214,9121,8093,10853,6044,4809,455,200,255,5906,2877,3029
49021,Pinal County,AZ,61,white,white,owner,owner,renter,renter,white,owners,71%,3%,26%,62%,73%,36%,46%,63%,3%,37%,35%,39%,52%,61%,54%,40%,21%,1%,4%,13%,21%,95390,38253,23908,14345,67550,23912,17341,6571,3293,1281,466,815,24547,13060,6101,6959,11341,6168,5173,6900,4552,2348,617,125,492,3824,1491,2333
50600,Conway,AR,51,white,white,renter,renter,renter,renter,white,renters,78%,15%,7%,30%,37%,15%,16%,67%,23%,33%,38%,68%,67%,63%,25%,18%,45%,3%,22%,3%,8%,28355,12671,3834,8837,22015,8434,3138,5296,4297,2923,442,2481,2043,1314,254,1060,4563,1142,3421,2883,841,2042,1161,159,1002,519,142,377
50894,Fayetteville,AR,51,white,white,renter,renter,renter,renter,white,renters,85%,4%,11%,25%,29%,9%,12%,80%,6%,20%,42%,75%,60%,77%,17%,14%,62%,1%,6%,2%,15%,51535,22988,5854,17134,44003,18435,5297,13138,1819,1365,120,1245,5713,3188,437,2751,7766,1332,6434,5959,1126,4833,540,80,460,1267,126,1141
50930,Fort Smith,AR,51,white,white,renter,renter,renter,renter,white,renters,73%,8%,19%,38%,40%,13%,33%,67%,10%,33%,39%,58%,54%,64%,27%,17%,47%,1%,12%,8%,15%,41540,17819,6718,11101,30444,11873,4773,7100,3248,1869,243,1626,7848,4077,1702,2375,6172,1651,4521,3971,1071,2900,790,75,715,1411,505,906
51302,Hot Springs,AR,51,white,white,renter,renter,renter,renter,white,renters,84%,10%,6%,43%,48%,23%,28%,75%,17%,25%,37%,70%,62%,72%,29%,24%,48%,3%,17%,3%,5%,28400,11747,5016,6731,23744,8868,4223,4645,2902,2028,466,1562,1754,851,327,524,4352,1273,3079,3149,1041,2108,866,114,752,337,118,219
51374,Jacksonville,AR,52,white,white,renter,renter,renter,renter,white,renters,66%,27%,7%,39%,45%,23%,30%,62%,28%,38%,45%,49%,53%,58%,33%,23%,35%,6%,31%,4%,2%,12870,6160,2433,3727,8456,3834,1732,2102,3498,1728,394,1334,916,598,307,291,1843,599,1244,1067,428,639,673,104,569,103,67,36
51410,Jonesboro,AR,51,white,white,renter,renter,renter,renter,white,renters,81%,13%,6%,34%,42%,9%,15%,72%,19%,28%,33%,54%,55%,64%,20%,16%,48%,2%,25%,2%,7%,38285,14289,4879,9410,30982,10299,4279,6020,4957,2698,252,2446,2346,1292,348,944,5048,1014,4034,3207,809,2398,1348,84,1264,493,121,372
51560,Little Rock,AR,51,white,black,renter,owner,renter,renter,black,renters,53%,38%,9%,39%,50%,32%,33%,37%,53%,63%,31%,61%,58%,35%,35%,16%,20%,15%,40%,4%,6%,86735,37856,14912,22944,45966,14142,7130,7012,32876,20021,6372,13649,7893,3693,1410,2283,12752,4405,8347,4482,1984,2498,7056,1963,5093,1214,458,756
51938,North Little Rock,AR,51,white,minority,renter,owner,renter,renter,black,renters,59%,35%,7%,39%,55%,25%,26%,43%,49%,57%,34%,66%,64%,35%,29%,16%,18%,11%,47%,2%,6%,36690,17097,6594,10503,21484,7342,4038,3304,12801,8387,2137,6250,2405,1368,419,949,6305,1819,4486,2201,1037,1164,3634,668,2966,470,114,356
52130,Pine Bluff,AR,51,black,black,renter,owner,renter,renter,black,renters,38%,58%,4%,47%,71%,38%,38%,27%,69%,73%,31%,51%,50%,21%,38%,15%,7%,22%,53%,2%,2%,24600,10525,4983,5542,9420,2883,2058,825,14230,7228,2743,4485,950,414,182,232,3762,1430,2332,799,547,252,2820,811,2009,143,72,71
